feature,shap_Naive,shap_Clean,shap_Bagging,shap_TunedBagging
checkpoint_abs_min,0.26674116,,,
cumul_distance,0.42651933,0.502687,0.32201406,0.11442454
cumul_hsr,0.31323066,0.52657664,0.33626956,0.13349561
cumul_mean_max_speed,0.59909034,0.7620899,0.28088254,0.12784632
cumul_peak_speed,0.99011934,0.9666316,0.6895563,0.3482203
cumul_shots,0.048021458,0.014807906,0.10651431,0.08424146
cumul_shots_on_target,0.02585566,0.039229844,0.055724673,0.0016911825
cumul_shots_top_third,0.11957012,0.11821243,0.01549916,0.04310266
cumul_shots_under_press,0.1510605,0.115522414,0.04062238,0.038221046
cumul_sprints,0.24245417,0.2888675,0.28537506,0.20483528
formation_3-4-3,0.20759164,0.17352739,0.05091923,0.0
formation_4-1-3-2,0.0,0.0,0.0,0.0
formation_4-1-4-1,0.08573428,0.041264143,0.05244627,0.010552211
formation_4-2-3-1,0.12101692,0.10577768,0.19493213,0.110458456
formation_4-2-4,0.014289004,0.016768098,0.00043547965,0.0
formation_4-3-3,0.26933986,0.28529385,0.10144171,0.042458326
formation_4-4-2,0.08630857,0.16444238,0.10171018,0.03352606
formation_5-2-3,0.03592389,0.0052074417,0.0023293588,0.0
formation_5-4-1,0.004367117,0.010188221,0.0,0.0
is_home,0.24777897,0.16251571,0.13549879,0.1212641
jersey_number,1.2083873,,,
last15_distance,0.57054275,0.7138485,0.41623697,0.19007786
last15_hsr,0.12299564,0.25790882,0.1799585,0.09147837
last15_mean_max_speed,0.6227778,0.6915672,0.2906185,0.14454325
last15_peak_speed,0.2668799,0.47491387,0.21851632,0.06929255
last15_shots,0.016525697,0.038398296,0.09369811,0.012732865
last15_shots_on_target,0.023069192,0.016880324,0.008785461,0.0
last15_shots_top_third,0.016869174,0.0027035046,0.0036330526,0.0053234943
last15_shots_under_press,0.031186773,0.035930023,0.014492947,0.001253284
last15_sprints,0.05644221,0.10676616,0.13954754,0.05238783
mins_on_pitch,0.3475829,0.295883,0.5245422,0.46958226
minute_in,0.027365929,,,
minute_out,0.5893495,,,
position_D,0.25090298,0.57402945,0.3816137,0.20710681
position_G,0.034982402,0.21618165,0.03001578,0.0
position_M,0.32396242,0.28624853,0.20451653,0.067534864
subbed,0.07190463,,,
